plant_name,plant_code,unique_id,ba_id,nameplate
Ocotillo Express LLC,57514,Ocotillo Wind Energy Facility1WT265,CISO,265
Pacific Wind LLC,57757,Pacific Wind - Phase 11WT140,CISO,140
Painted Hills Wind Park,50533,Painted Hills WindparkWT44.5,CISO,44.5
San Gorgonio Westwinds II LLC,50690,Phoenix1WT11.2,CISO,11.2
Pinyon Pine I,57834,Pinyon Pines 11WT168,CISO,168
Pinyon Pine II,57837,Pinyon Pines 21WT132,CISO,132
Point Wind,63482,Point Wind 1WT50.1,CISO,50.1
Point Wind,63482,Point Wind 2WT14.4,CISO,14.4
,,Renwind re-powering project1WT10,CISO,10
Ridgetop Energy LLC,10597,Ridgetop 21WT27.39,CISO,27.39
Ridgetop,54931,Ridgetop I1WT38.24,CISO,38.24
Rising Tree Wind Farm,57621,Rising Tree 11WT79.2,CISO,79.2
Rising Tree Wind Farm II,59235,Rising Tree 21WT19.8,CISO,19.8
Rising Tree Wind Farm III,59236,Rising Tree 31WT99,CISO,99
,,San Gorgonio East1WT12.6,CISO,12.6
San Gorgonio Farms Wind Farm,50281,San Gorgonio Farms Wind Farm1WT31,CISO,31
Sand Hill C,63653,Sand Hill C1WT80.8,CISO,80.8
Shiloh I Wind Project,56362,Shiloh I Wind Project1WT150,CISO,150
Shiloh III Wind Project LLC,57586,"Shiloh III Wind Project, LLC1WT102.5",CISO,102.5
Shiloh IV Wind Project LLC,57725,Shiloh IV Wind Project1WT100,CISO,100
Shiloh Wind Project 2 LLC,56874,SHILOH WIND PROJECT 21WT150,CISO,150
Sky River Wind Energy Center,50536,Sky River Wind Repower AWT29,CISO,29
Sky River Wind Energy Center,50536,Sky River Wind Repower BWT29.5,CISO,29.5
Solano Wind,7526,SOLANO WIND FARMWT102.18,CISO,102.18
Solano Wind,7526,SOLANO WIND FARMWT102.18,CISO,102.18
Solano Wind,7526,SOLANO WIND FARMWT102.18,CISO,102.18
Solano Wind,7526,Solano Wind Project Phase 3WT127.8,CISO,127.8
